日期,今开,收盘,成交量,最高,最低,涨跌额,涨跌幅,昨收,ma5,ma10,ma20
2025-05-01,19866.83,19786.71,1314973763,20024.48,19763.14,215.69,1.1,19571.02,19552.51,19001.3,18625.79
2025-05-02,19986.61,20102.61,1305618511,20176.6,19936.67,315.9,1.6,19786.71,19686.52,19185.75,18704.85
2025-05-05,19928.82,19967.94,1106583954,20100.61,19899.28,-134.67,-0.67,20102.61,19794.65,19401.72,18833.36
2025-05-06,19709.64,19791.35,1088203503,19927.23,19659.32,-176.59,-0.88,19967.94,19843.93,19553.21,18951.39
2025-05-07,19804.5,19867.97,1377786692,19960.86,19605.07,76.62,0.39,19791.35,19903.32,19670.68,19090.27
2025-05-08,20067.43,20063.57,1344694006,20249.76,19907.67,195.6,0.98,19867.97,19958.69,19755.6,19136.2
2025-05-09,20170.37,20061.45,1031645875,20203.58,19984.53,-2.12,-0.01,20063.57,19950.46,19818.49,19222.09
2025-05-12,20818.78,20868.15,1489433337,20870.12,20613.27,806.7,4.02,20061.45,20130.5,19962.57,19331.0
2025-05-13,20906.92,21197.7,1486363494,21259.39,20891.18,329.55,1.58,20868.15,20411.77,20127.85,19451.08
2025-05-14,21254.47,21319.21,1388243250,21336.48,21199.85,121.51,0.57,21197.7,20702.02,20302.67,19575.53
2025-05-15,21206.73,21335.82,1210173947,21443.88,21168.17,16.61,0.08,21319.21,20956.47,20457.58,19729.44
2025-05-16,21375.62,21427.94,1162049293,21428.79,21246.42,92.12,0.43,21335.82,21229.76,20590.11,19887.93
2025-05-19,21138.13,21447.05,1035771025,21464.56,21138.13,19.11,0.09,21427.94,21345.54,20738.02,20069.87
2025-05-20,21347.63,21367.37,1003997856,21399.99,21226.66,-79.68,-0.37,21447.05,21379.48,20895.62,20224.42
2025-05-21,21217.31,21080.36,1296803249,21482.98,21002.09,-287.01,-1.34,21367.37,21331.71,21016.86,20343.77
2025-05-22,21097.46,21112.47,1109867943,21263.18,21046.22,32.11,0.15,21080.36,21287.04,21121.75,20438.67
2025-05-23,20806.37,20915.65,1107813386,21025.58,20777.97,-196.82,-0.93,21112.47,21184.58,21207.17,20512.83
2025-05-27,21201.45,21414.99,1240222964,21429.32,21145.13,499.34,2.39,20915.65,21178.17,21261.86,20612.21
2025-05-28,21451.69,21318.17,1135667461,21508.08,21296.51,-96.82,-0.45,21414.99,21168.33,21273.9,20700.88
2025-05-29,21611.54,21363.95,1251704724,21611.54,21260.72,45.78,0.21,21318.17,21225.05,21278.38,20790.52
2025-05-30,21330.85,21340.99,1851452231,21386.29,21032.56,-22.96,-0.11,21363.95,21270.75,21278.89,20868.24
2025-06-02,21270.57,21491.75,1095923256,21500.36,21199.37,150.76,0.71,21340.99,21385.97,21285.28,20937.69
2025-06-03,21529.98,21662.58,1212079461,21715.96,21474.51,170.83,0.79,21491.75,21435.49,21306.83,21022.42
2025-06-04,21689.02,21721.92,1087086848,21761.37,21607.33,59.34,0.27,21662.58,21516.24,21342.28,21118.95
2025-06-05,21782.34,21547.43,1455705695,21891.89,21472.77,-174.49,-0.8,21721.92,21552.93,21388.99,21202.93
2025-06-06,21777.5,21761.79,1114624350,21836.57,21696.69,214.36,0.99,21547.43,21637.09,21453.92,21287.84
2025-06-09,21779.18,21797.87,1309171014,21855.15,21729.3,36.08,0.17,21761.79,21698.32,21542.14,21374.66
2025-06-10,21819.78,21941.92,1296944371,21961.42,21727.34,144.05,0.66,21797.87,21754.19,21594.84,21428.35
2025-06-11,21994.16,21860.8,1222034415,22041.83,21775.27,-81.12,-0.37,21941.92,21781.96,21649.1,21461.5
2025-06-12,21826.79,21913.32,1008571674,21952.0,21807.0,52.52,0.24,21860.8,21855.14,21704.04,21491.21
2025-06-13,21675.94,21631.04,1135213520,21838.47,21591.11,-282.28,-1.29,21913.32,21828.99,21733.04,21505.97
2025-06-16,21783.08,21937.57,1150495004,21979.77,21783.08,306.53,1.42,21631.04,21856.93,21777.62,21531.45
2025-06-17,21858.89,21719.08,1092597765,21896.42,21680.17,-218.49,-1.0,21937.57,21812.36,21783.27,21545.05
2025-06-18,21745.5,21719.69,1149897881,21863.0,21660.52,0.61,0.0,21719.08,21784.14,21783.05,21562.67
2025-06-20,21834.49,21626.39,1959721869,21902.99,21552.8,-93.3,-0.43,21719.69,21726.75,21790.95,21589.97
2025-06-23,21632.78,21856.33,1296279136,21871.87,21532.32,229.94,1.06,21626.39,21771.81,21800.4,21627.16
2025-06-24,22053.33,22190.52,1326744481,22220.64,22045.63,334.19,1.53,21856.33,21822.4,21839.67,21690.9
2025-06-25,22279.69,22237.74,1216944141,22329.23,22175.08,47.22,0.21,22190.52,21926.13,21869.25,21732.04
2025-06-26,22328.24,22447.29,1224230812,22466.99,22255.27,209.55,0.94,22237.74,22071.65,21927.9,21788.5
2025-06-27,22484.87,22534.2,1877838947,22603.22,22382.79,86.91,0.39,22447.29,22253.22,21989.99,21847.01
2025-06-30,22632.92,22679.01,1287902146,22721.5,22565.11,144.81,0.64,22534.2,22417.75,22094.78,21913.91
2025-07-01,22594.48,22478.14,1386327984,22631.26,22388.09,-200.87,-0.89,22679.01,22475.28,22148.84,21963.23
2025-07-02,22451.81,22641.89,1203398095,22644.72,22448.07,163.75,0.73,22478.14,22556.11,22241.12,22012.2
2025-07-03,22751.64,22866.97,759885243,22896.01,22736.08,225.08,0.99,22641.89,22640.04,22355.85,22069.45
2025-07-07,22754.38,22685.57,1067509373,22776.21,22587.47,-181.4,-0.79,22866.97,22670.32,22461.77,22126.36
2025-07-08,22735.26,22702.25,1181022908,22761.8,22652.44,16.68,0.07,22685.57,22674.96,22546.36,22173.38
2025-07-09,22800.36,22864.91,1079909600,22915.33,22733.65,162.66,0.72,22702.25,22752.32,22613.8,22226.73
2025-07-10,22890.43,22829.26,1056726741,22907.04,22716.41,-35.65,-0.16,22864.91,22789.79,22672.95,22271.1
2025-07-11,22757.99,22780.6,1096226133,22837.38,22692.8,-48.66,-0.21,22829.26,22772.52,22706.28,22317.09
2025-07-14,22780.19,22855.63,1062774931,22886.94,22675.28,75.03,0.33,22780.6,22806.53,22738.42,22364.2
2025-07-15,23036.86,22884.59,1241291623,23051.87,22876.47,28.96,0.13,22855.63,22843.0,22758.98,22426.88
2025-07-16,22895.3,22907.97,1192656715,22928.55,22669.37,23.38,0.1,22884.59,22851.61,22801.96,22475.4
